CLAVE;F_CORTE;PARTIDO;REGION;FLUIDO;DIRECCION;ASIGNACION_PRESUPUESTO;P3_IP;LAT_OBRA;LON_OBRA;NOMBRE_DE_LA_OBRA;TIPO_DE_OBRA;FINANCIA;EJECUTA;ESTADO;SUBESTADO;FECHA_LLAMADO_LICITACION;A_INFORMAR;CONTRATISTA;INVERSION_PRESUPUESTADA_SIN_IVA;INVERSION_REAL_ACUMULADA_SIN_IVA;PLAZO;AVANCE;FIRMA_CTO;ORDEN_INICIO;FIN_OBRA;GEOREF_NA;AREA_RESPONSABLE;ACTIVE;HABITANTES;OBSERVACIONES;ESCENARIO_MYM;PI;UBICACION_OBRA;METROS_AGUA;METROS_CLOACA;CONEXIONES_AGUA;CONEXIONES_CLOACA
49742;2021-08-27;San Miguel;NORTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE CLOACA BARRIOS BELLA VISTA JOVEN M3;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;1400;;;;;;1200;0;0
49743;2021-08-27;Tigre;NORTE;AGUA;DDC;EXPANSION;SP3;;;RSA BARRIOS TIGRE SUR MÓDULO INICIAL;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;330;0;;;;PROYECTO PREVISTO;;1;4074;;;;;3000;;0;0
49744;2021-08-27;Tres de Febrero;OESTE;AGUA;DDC;EXPANSION;SP3;;;CIERRES DE MALLA TRES DE FEBRERO M2;RED SECUNDARIA;FONPLATA 2;A+T;EN PROYECTO;;;SI;;20000000;0;330;0;;;;PROYECTO PREVISTO;;1;2500;;;;;3000;;0;0
49745;2021-08-27;Tres de Febrero;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL LOMA HERMOSA 2A M2;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;1438;;;;;;1200;0;0
49752;2021-08-27;Avellaneda;SUDESTE;AGUA;DDC;EXPANSION;SP3;;;RSA ECOPUNTO + FALTANTES TELLIER;RED SECUNDARIA;FONPLATA 2;A+T;EN PROYECTO;;;SI;;20000000;0;300;0;;;;PROYECTO PREVISTO;;1;0;;;;;3000;;0;0
49763;2021-08-27;Hurlingham;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL BARRIO NUEVO INTA M1;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;1050;;;;;;1000;0;0
49764;2021-08-27;Hurlingham;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL BARRIO NUEVO INTA M2;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;1050;;;;;;1000;0;0
49767;2021-08-27;Esteban Echeverria;SUDOESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL SANTA CATALINA 2° ETAPA M7;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;26000000;0;330;0;;;;PROYECTO PREVISTO;;1;497;;;;;;1200;0;0
49768;2021-08-27;Esteban Echeverria;SUDOESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL SANTA CATALINA 2° ETAPA M9;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;26000000;0;330;0;;;;PROYECTO PREVISTO;;1;497;;;;;;1200;0;0
49770;2021-08-27;Alte Brown;SUDOESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA CLOACAL BROWN 1 M3;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;30000000;0;300;0;;;;PROYECTO PREVISTO;;1;1200;;;;;;1000;0;0
